run_id,commit,timestamp,cell_type,corpus,format,chunking,chunk_size,generator,reranked,late_chunking,n_docs,n_chunks,n_questions,recall_at_5,mrr,ndcg_at_5,faithfulness,ragas_faithfulness,ragas_answer_relevance,factscore,selfcheck_consistency,indexing_tokens,retrieval_tokens,prompt_tokens,output_tokens,ctx_tokens_per_query,contextualization_overhead_pct,token_saving_vs_baseline_pct,latency_s_mean,latency_s_p95,cost_usd,quality,cost,latency,composite_score
financebench_json_semantic_256_claude,26f217f,2026-07-30T17:59:03+00:00,core,financebench,json,semantic,256,claude,0,0,41,117,50,0.98,0.8907,0.9134,0.936,0.9019,0.8718,0.9084,0.9488,30601,1405.0,1461.6,133.3,1405.0,30.7,,2.5,4.75,0.68565,0.6164465405534469,0.860180894005083,0.30909090909090897,0.6556502195421389
financebench_toon_semantic_256_gpt,26f217f,2026-07-30T18:31:07+00:00,core,financebench,toon,semantic,256,gpt,0,0,41,117,50,0.98,0.8757,0.9021,0.868,0.7901,0.8914,0.8336,0.9697,30888,1333.1,1389.8,92.3,1333.1,30.7,-0.94,2.31,5.03,0.66435,0.5487135877523107,0.8870159964120198,0.4242424242424242,0.6484487562567259
financebench_toon_semantic_256_claude,26f217f,2026-07-30T18:31:07+00:00,core,financebench,toon,semantic,256,claude,0,0,41,117,50,0.98,0.8757,0.9021,0.926,0.872,0.8709,0.8838,0.9568,30888,1333.1,1389.8,137.8,1333.1,30.7,-0.94,2.28,3.49,0.66435,0.5827551162100286,0.8870159964120198,0.4424242424242425,0.6681967932128576
financebench_yaml_semantic_256_gpt,26f217f,2026-07-30T19:04:24+00:00,core,financebench,yaml,semantic,256,gpt,0,0,41,117,50,0.96,0.9,0.9157,0.905,0.8407,0.8902,0.8501,0.9678,30475,1354.7,1411.4,95.5,1354.7,30.7,0.41,1.86,3.92,0.66635,0.6436223221414179,0.8789430408132755,0.6969696969696969,0.7339866799008099
financebench_yaml_semantic_256_claude,26f217f,2026-07-30T19:04:24+00:00,core,financebench,yaml,semantic,256,claude,0,0,41,117,50,0.96,0.9,0.9157,0.929,0.905,0.8716,0.8939,0.9498,30475,1354.7,1411.4,136.4,1354.7,30.7,0.41,2.46,4.46,0.66635,0.5867447111264411,0.8789430408132755,0.33333333333333326,0.651002419847867
financebench_json_semantic_512_gpt,26f217f,2026-07-30T19:38:06+00:00,core,financebench,json,semantic,512,gpt,0,0,41,81,50,1.0,0.904,0.9287,0.915,0.8454,0.8932,0.8937,0.9638,27205,2173.3,2230.0,100.5,2173.3,20.35,,2.0,4.49,0.91255,0.7359860035350475,0.5729929735386455,0.6121212121212121,0.6603587243242315
financebench_json_semantic_512_claude,26f217f,2026-07-30T19:38:06+00:00,core,financebench,json,semantic,512,claude,0,0,41,81,50,1.0,0.904,0.9287,0.972,0.8589,0.8754,0.9126,0.9504,27205,2173.3,2230.0,136.4,2173.3,20.35,,2.54,5.24,0.91255,0.6780393682735067,0.5729929735386455,0.2848484848484848,0.582294497602552
financebench_toon_semantic_512_gpt,26f217f,2026-07-30T20:09:42+00:00,core,financebench,toon,semantic,512,gpt,0,0,41,81,50,1.0,0.9073,0.9308,0.919,0.8175,0.8916,0.86,0.9597,27394,2055.6,2112.3,99.2,2055.6,20.35,-0.69,2.02,4.64,0.8834,0.6495019384869783,0.6169831065929137,0.6,0.6306950565510089
financebench_toon_semantic_512_claude,26f217f,2026-07-30T20:09:42+00:00,core,financebench,toon,semantic,512,claude,0,0,41,81,50,1.0,0.9073,0.9308,0.951,0.8745,0.8776,0.8997,0.9547,27394,2055.6,2112.3,139.6,2055.6,20.35,-0.69,2.33,3.89,0.8834,0.6909114685834462,0.6169831065929137,0.412121212121212,0.6232180034174246
financebench_yaml_semantic_512_gpt,26f217f,2026-07-30T20:40:38+00:00,core,financebench,yaml,semantic,512,gpt,0,0,41,81,50,1.0,0.9207,0.9408,0.91,0.8865,0.8891,0.8946,0.9639,27102,2044.1,2100.8,99.1,2044.1,20.35,0.38,1.86,4.01,0.8816,0.7608641575280763,0.6212812079533562,0.6969696969696969,0.7024259560931674
financebench_yaml_semantic_512_claude,26f217f,2026-07-30T20:40:38+00:00,core,financebench,yaml,semantic,512,claude,0,0,41,81,50,1.0,0.9207,0.9408,0.938,0.9059,0.8736,0.9422,0.9536,27102,2044.1,2100.8,142.3,2044.1,20.35,0.38,2.48,4.21,0.8816,0.7267390928819354,0.6212812079533562,0.32121212121212117,0.6289997874064606
financebench_json_fixed_256_late_gpt,d515950,2026-08-01T18:34:59+00:00,L_late_chunking,financebench,json,fixed,256,gpt,0,1,41,97,50,0.82,0.6917,0.7248,0.932,0.8675,0.8937,0.8437,0.9613,28814,1502.3,1558.9,85.7,1502.3,25.48,,1.8,3.69,0.18505,0.4445119068323439,0.8238152190162954,0.7333333333333334,0.6205912800718753
financebench_json_fixed_256_late_claude,d515950,2026-08-01T18:34:59+00:00,L_late_chunking,financebench,json,fixed,256,claude,0,1,41,97,50,0.82,0.6917,0.7248,0.928,0.8681,0.8704,0.902,0.9535,28814,1502.3,1558.9,123.1,1502.3,25.48,,2.19,3.34,0.18505,0.33283263712374317,0.8238152190162954,0.49696969696969695,0.5292970997630295
financebench_toon_fixed_256_late_gpt,d515950,2026-08-01T19:02:48+00:00,L_late_chunking,financebench,toon,fixed,256,gpt,0,1,41,97,50,0.82,0.6917,0.7248,0.9,0.8775,0.893,0.793,0.9626,29071,1457.0,1513.7,83.6,1457.0,25.48,-0.89,1.36,3.08,0.68265,0.3669164497886571,0.8407086261025565,1.0,0.6277062440302233
financebench_toon_fixed_256_late_claude,d515950,2026-08-01T19:02:48+00:00,L_late_chunking,financebench,toon,fixed,256,claude,0,1,41,97,50,0.82,0.6917,0.7248,0.956,0.8994,0.8745,0.8619,0.9551,29071,1457.0,1513.7,129.0,1457.0,25.48,-0.89,2.24,4.07,0.68265,0.3951239776310639,0.8407086261025565,0.46666666666666645,0.5618100079514267
financebench_yaml_fixed_256_late_gpt,d515950,2026-08-02T06:37:16+00:00,L_late_chunking,financebench,yaml,fixed,256,gpt,0,1,41,97,50,0.82,0.6917,0.7248,0.934,0.8945,0.8914,0.9336,0.9667,28725,1525.6,1582.3,84.2,1525.6,25.48,0.31,1.49,3.48,0.3638,0.5813829176438932,0.8150695171176559,0.9212121212121213,0.7141476079949443
financebench_yaml_fixed_256_late_claude,d515950,2026-08-02T06:37:16+00:00,L_late_chunking,financebench,yaml,fixed,256,claude,0,1,41,97,50,0.82,0.6917,0.7248,0.958,0.8947,0.8729,0.912,0.9549,28725,1525.6,1582.3,127.8,1525.6,25.48,0.31,2.17,3.55,0.3638,0.4316997834807661,0.8150695171176559,0.509090909090909,0.5774878590951991
financebench_json_fixed_128_gpt,d515950,2026-08-02T07:11:17+00:00,S_chunk_size,financebench,json,fixed,128,gpt,0,0,41,178,50,0.96,0.8873,0.9056,0.897,0.8034,0.8877,0.8312,0.9653,36428,1030.8,1087.5,94.8,1030.8,48.6,,1.41,3.28,0.5687,0.5419141653228275,1.0,0.9696969696969698,0.7664116281159592
financebench_json_fixed_128_claude,d515950,2026-08-02T07:11:17+00:00,S_chunk_size,financebench,json,fixed,128,claude,0,0,41,178,50,0.96,0.8873,0.9056,0.957,0.8469,0.867,0.8947,0.9497,36428,1030.8,1087.5,129.0,1030.8,48.6,,2.15,3.6,0.5687,0.5346201801010781,1.0,0.5212121212121212,0.6954919082323572
financebench_json_fixed_1024_gpt,d515950,2026-08-02T07:42:56+00:00,S_chunk_size,financebench,json,fixed,1024,gpt,0,0,41,43,50,1.0,0.8917,0.9196,0.908,0.8656,0.8934,0.8889,0.959,23908,3337.1,3393.7,102.4,3337.1,10.86,,1.75,3.26,1.25325,0.7099290411897483,0.13806249065630138,0.7636363636363637,0.5178318468700341
financebench_json_fixed_1024_claude,d515950,2026-08-02T07:42:56+00:00,S_chunk_size,financebench,json,fixed,1024,claude,0,0,41,43,50,1.0,0.8917,0.9196,0.966,0.9271,0.8802,0.935,0.9502,23908,3337.1,3393.7,143.1,3337.1,10.86,,2.71,5.74,1.25325,0.7793997396540654,0.13806249065630138,0.18181818181818177,0.46529446882946546
financebench_json_fixed_2048_gpt,d515950,2026-08-02T08:14:57+00:00,S_chunk_size,financebench,json,fixed,2048,gpt,0,0,41,41,50,1.0,0.8683,0.9022,0.883,0.8677,0.8953,0.8844,0.9629,23728,3706.5,3763.1,99.2,3706.5,10.32,,1.61,3.73,1.3269,0.694586455120282,0.0,0.8484848484848484,0.4745659548328683
financebench_json_fixed_2048_claude,d515950,2026-08-02T08:14:57+00:00,S_chunk_size,financebench,json,fixed,2048,claude,0,0,41,41,50,1.0,0.8683,0.9022,0.97,0.8812,0.8782,0.9125,0.9555,23728,3706.5,3763.1,143.8,3706.5,10.32,,2.32,3.72,1.3269,0.7247715813749308,0.0,0.4181818181818182,0.42511306341473815
hotpotqa_json_fixed_256_gpt,4f24364,2026-07-28T19:56:58+00:00,core,hotpotqa,json,fixed,256,gpt,0,0,498,523,50,0.88,0.9733,0.8595,0.825,0.7986,0.8867,0.8568,0.9835,101452,927.9,970.0,25.5,927.9,35.37,,1.19,2.06,0.33435,0.5220203599474251,0.04549823774431283,0.7421875,0.38826268818422205
hotpotqa_json_fixed_256_claude,4f24364,2026-07-28T19:56:58+00:00,core,hotpotqa,json,fixed,256,claude,0,0,498,523,50,0.88,0.9733,0.8595,0.94,0.8976,0.8666,0.9312,0.9725,101452,927.9,970.0,72.0,927.9,35.37,,1.87,3.04,0.33435,0.5638175188629326,0.04549823774431283,0.2109375,0.3294737676419758
hotpotqa_toon_fixed_256_gpt,4f24364,2026-07-28T20:16:19+00:00,core,hotpotqa,toon,fixed,256,gpt,0,0,498,523,50,0.88,0.9767,0.8541,0.765,0.7607,0.8869,0.8347,0.9861,102444,871.9,913.9,25.5,871.9,35.37,-0.98,1.13,2.09,0.32845,0.45335211135593817,0.22524831784684418,0.7890625000000001,0.4238723419243645
hotpotqa_toon_fixed_256_claude,4f24364,2026-07-28T20:16:19+00:00,core,hotpotqa,toon,fixed,256,claude,0,0,498,523,50,0.88,0.9767,0.8541,0.8634,0.9082,0.8655,0.9169,0.9756,102444,871.9,913.9,74.3,871.9,35.37,-0.98,1.81,2.71,0.32845,0.5224086718441814,0.22524831784684418,0.2578125000000001,0.3787131221684862
hotpotqa_yaml_fixed_256_gpt,4f24364,2026-07-28T20:34:34+00:00,core,hotpotqa,yaml,fixed,256,gpt,0,0,498,523,50,0.87,0.9733,0.8491,0.785,0.7694,0.8874,0.8049,0.9866,100304,936.8,978.8,25.5,936.8,35.37,1.13,1.22,1.77,0.3346,0.4422599287541558,0.017302146747837477,0.71875,0.334998215738821
hotpotqa_yaml_fixed_256_claude,4f24364,2026-07-28T20:34:34+00:00,core,hotpotqa,yaml,fixed,256,claude,0,0,498,523,50,0.87,0.9733,0.8491,0.9234,0.8895,0.8614,0.9098,0.9736,100304,936.8,978.8,70.4,936.8,35.37,1.13,1.61,2.39,0.3346,0.4984152986022576,0.017302146747837477,0.4140625,0.3173727756628719
hotpotqa_json_fixed_512_gpt,4f24364,2026-07-28T20:52:22+00:00,core,hotpotqa,json,fixed,512,gpt,0,0,498,500,50,0.87,0.9733,0.8529,0.815,0.825,0.888,0.8391,0.9878,99213,929.2,971.2,25.2,929.2,32.96,,1.18,1.84,0.3333,0.5392480150643141,0.04165331624479329,0.7500000000000001,0.39670266821783473
hotpotqa_json_fixed_512_claude,4f24364,2026-07-28T20:52:22+00:00,core,hotpotqa,json,fixed,512,claude,0,0,498,500,50,0.87,0.9733,0.8529,0.945,0.9245,0.8674,0.9078,0.9735,99213,929.2,971.2,71.1,929.2,32.96,,1.68,2.31,0.3333,0.5642465085861438,0.04165331624479329,0.3593750000000001,0.3506081649787496
hotpotqa_toon_fixed_512_gpt,4f24364,2026-07-28T21:10:53+00:00,core,hotpotqa,toon,fixed,512,gpt,0,0,498,500,50,0.88,0.9733,0.8541,0.75,0.7951,0.8908,0.793,0.9835,100145,876.7,918.7,26.1,876.7,32.96,-0.94,1.51,3.98,0.33,0.438251632938137,0.20986863184876636,0.4921875000000001,0.36640796261613673
hotpotqa_toon_fixed_512_claude,4f24364,2026-07-28T21:10:53+00:00,core,hotpotqa,toon,fixed,512,claude,0,0,498,500,50,0.88,0.9733,0.8541,0.8984,0.9265,0.8664,0.9181,0.9722,100145,876.7,918.7,75.4,876.7,32.96,-0.94,2.09,3.92,0.33,0.541281125390752,0.20986863184876636,0.03906250000000022,0.3499539588424443
hotpotqa_yaml_fixed_512_gpt,4f24364,2026-07-28T21:28:51+00:00,core,hotpotqa,yaml,fixed,512,gpt,0,0,498,500,50,0.87,0.9733,0.8467,0.775,0.7661,0.8886,0.8063,0.9849,98086,926.0,968.0,24.8,926.0,32.96,1.14,1.35,2.03,0.3331,0.4280281899063874,0.051906440243511875,0.6171875,0.32475947403842287
hotpotqa_yaml_fixed_512_claude,4f24364,2026-07-28T21:28:51+00:00,core,hotpotqa,yaml,fixed,512,claude,0,0,498,500,50,0.87,0.9733,0.8467,0.9334,0.9271,0.8634,0.9275,0.9757,98086,926.0,968.0,71.9,926.0,32.96,1.14,1.83,2.87,0.3331,0.5639095178010011,0.051906440243511875,0.2421875000000001,0.33645013798572976
hotpotqa_json_recursive_256_gpt,4f24364,2026-07-28T21:46:36+00:00,core,hotpotqa,json,recursive,256,gpt,0,0,498,526,50,0.87,0.9733,0.8534,0.8,0.8133,0.8896,0.8425,0.9892,101474,924.8,966.8,25.0,924.8,35.35,,1.26,2.25,0.3333,0.5404321255499019,0.05575136174303141,0.6875,0.39285403938501195
hotpotqa_json_recursive_256_claude,4f24364,2026-07-28T21:46:36+00:00,core,hotpotqa,json,recursive,256,claude,0,0,498,526,50,0.87,0.9733,0.8534,0.9234,0.9145,0.8699,0.9184,0.972,101474,924.8,966.8,71.1,924.8,35.35,,1.77,2.51,0.3333,0.5549227780171503,0.05575136174303141,0.2890625000000001,0.3403337406186362
hotpotqa_toon_recursive_256_gpt,4f24364,2026-07-28T22:04:22+00:00,core,hotpotqa,toon,recursive,256,gpt,0,0,498,526,50,0.87,0.9767,0.8551,0.7584,0.7637,0.8872,0.8183,0.9856,102469,873.2,915.3,25.3,873.2,35.35,-0.98,1.3,1.95,0.32945,0.4309238478057167,0.2207625760974049,0.65625,0.3911663255369501
hotpotqa_toon_recursive_256_claude,4f24364,2026-07-28T22:04:22+00:00,core,hotpotqa,toon,recursive,256,claude,0,0,498,526,50,0.87,0.9767,0.8551,0.9184,0.9065,0.8686,0.914,0.9799,102469,873.2,915.3,74.3,873.2,35.35,-0.98,2.01,3.76,0.32945,0.58559568646161,0.2207625760974049,0.10156250000000022,0.38529911986489673
hotpotqa_yaml_recursive_256_gpt,4f24364,2026-07-28T22:21:46+00:00,core,hotpotqa,yaml,recursive,256,gpt,0,0,498,526,50,0.87,0.9733,0.8508,0.762,0.7577,0.887,0.8196,0.9885,100315,927.4,969.4,25.7,927.4,35.35,1.14,1.14,2.0,0.3328,0.4424129475135752,0.0474206984940726,0.7812500000000001,0.354991218229713
hotpotqa_yaml_recursive_256_claude,4f24364,2026-07-28T22:21:46+00:00,core,hotpotqa,yaml,recursive,256,claude,0,0,498,526,50,0.87,0.9733,0.8508,0.9134,0.9321,0.8673,0.9075,0.9756,100315,927.4,969.4,70.7,927.4,35.35,1.14,1.88,2.93,0.3328,0.5603353424512079,0.0474206984940726,0.2031250000000001,0.3272336656985294
hotpotqa_json_recursive_512_gpt,4f24364,2026-07-28T22:39:05+00:00,core,hotpotqa,json,recursive,512,gpt,0,0,498,500,50,0.87,0.9733,0.8516,0.81,0.801,0.8854,0.8554,0.9834,99244,925.3,967.3,25.9,925.3,33.02,,1.34,2.34,0.3338,0.49290903907980516,0.054149311118231624,0.625,0.35915677843128363
hotpotqa_json_recursive_512_claude,4f24364,2026-07-28T22:39:05+00:00,core,hotpotqa,json,recursive,512,claude,0,0,498,500,50,0.87,0.9733,0.8516,0.92,0.9432,0.8687,0.943,0.9732,99244,925.3,967.3,71.3,925.3,33.02,,2.02,3.54,0.3338,0.5922148155454546,0.054149311118231624,0.09375000000000011,0.32912216666410843
hotpotqa_toon_recursive_512_gpt,4f24364,2026-07-28T22:55:56+00:00,core,hotpotqa,toon,recursive,512,gpt,0,0,498,500,50,0.87,0.9733,0.8516,0.75,0.7925,0.8877,0.8214,0.984,100173,875.2,917.2,26.1,875.2,33.02,-0.94,1.39,2.46,0.32805,0.43807423872860235,0.21467478372316562,0.5859375000000002,0.3820639186674092
hotpotqa_toon_recursive_512_claude,4f24364,2026-07-28T22:55:56+00:00,core,hotpotqa,toon,recursive,512,claude,0,0,498,500,50,0.87,0.9733,0.8516,0.8934,0.9164,0.8603,0.9268,0.9711,100173,875.2,917.2,75.8,875.2,33.02,-0.94,1.76,2.51,0.32805,0.4946766460099045,0.21467478372316562,0.2968750000000001,0.36700574730806024
hotpotqa_yaml_recursive_512_gpt,4f24364,2026-07-28T23:13:07+00:00,core,hotpotqa,yaml,recursive,512,gpt,0,0,498,500,50,0.87,0.9733,0.8478,0.7534,0.7593,0.8891,0.798,0.987,98118,927.2,969.2,26.5,927.2,33.02,1.13,1.49,4.19,0.3328,0.4194240342032972,0.04806151874399234,0.5078125000000001,0.30270542366204595
hotpotqa_yaml_recursive_512_claude,4f24364,2026-07-28T23:13:07+00:00,core,hotpotqa,yaml,recursive,512,claude,0,0,498,500,50,0.87,0.9733,0.8478,0.9318,0.9046,0.8608,0.9172,0.9758,98118,927.2,969.2,70.2,927.2,33.02,1.13,1.77,2.52,0.3328,0.5291180146588284,0.04806151874399234,0.2890625000000001,0.32473991388981155
hotpotqa_json_semantic_256_gpt,4f24364,2026-07-28T23:30:50+00:00,core,hotpotqa,json,semantic,256,gpt,0,0,498,899,50,0.77,0.965,0.7791,0.855,0.7895,0.8876,0.8039,0.9799,130070,692.1,734.1,27.3,692.1,65.67,,1.62,3.84,0.28505,0.3252061982213817,0.8013457225248318,0.40625,0.504011601994382
hotpotqa_json_semantic_256_claude,4f24364,2026-07-28T23:30:50+00:00,core,hotpotqa,json,semantic,256,claude,0,0,498,899,50,0.77,0.965,0.7791,0.9184,0.9167,0.8657,0.9403,0.9724,130070,692.1,734.1,67.8,692.1,65.67,,1.63,2.47,0.28505,0.41609688175167187,0.8013457225248318,0.3984375000000002,0.5482850687595271
hotpotqa_toon_semantic_256_gpt,4f24364,2026-07-28T23:48:19+00:00,core,hotpotqa,toon,semantic,256,gpt,0,0,498,899,50,0.8,0.965,0.793,0.815,0.7581,0.889,0.813,0.9832,131721,630.1,672.1,26.2,630.1,65.67,-1.27,1.59,3.7,0.27685,0.3455345080274252,1.0,0.4296875,0.5872203790137126
hotpotqa_toon_semantic_256_claude,4f24364,2026-07-28T23:48:19+00:00,core,hotpotqa,toon,semantic,256,claude,0,0,498,899,50,0.8,0.965,0.793,0.905,0.9203,0.8695,0.9541,0.9658,131721,630.1,672.1,73.5,630.1,65.67,-1.27,1.63,2.33,0.27685,0.4326594186922451,1.0,0.3984375000000002,0.6260953343461226
hotpotqa_yaml_semantic_256_gpt,4f24364,2026-07-29T00:04:56+00:00,core,hotpotqa,yaml,semantic,256,gpt,0,0,498,899,50,0.77,0.955,0.7728,0.7586,0.7578,0.8864,0.7778,0.9752,127847,691.8,733.9,26.7,691.8,65.67,1.71,2.14,6.91,0.2857,0.185186957069117,0.8019865427747519,0.0,0.3732887685057217
hotpotqa_yaml_semantic_256_claude,4f24364,2026-07-29T00:04:56+00:00,core,hotpotqa,yaml,semantic,256,claude,0,0,498,899,50,0.77,0.955,0.7728,0.9068,0.9141,0.86,0.9289,0.9716,127847,691.8,733.9,69.2,691.8,65.67,1.71,1.62,2.53,0.2857,0.3625844981686795,0.8019865427747519,0.40625,0.5229250390555029
hotpotqa_json_semantic_512_gpt,4f24364,2026-07-29T00:22:55+00:00,core,hotpotqa,json,semantic,512,gpt,0,0,498,893,50,0.78,0.9617,0.7776,0.7884,0.7683,0.8831,0.8284,0.9764,129471,697.4,739.4,26.6,697.4,65.0,,1.86,3.83,0.287,0.25355365730759394,0.7843639859019547,0.2187500000000001,0.4341167237194811
hotpotqa_json_semantic_512_claude,4f24364,2026-07-29T00:22:55+00:00,core,hotpotqa,json,semantic,512,claude,0,0,498,893,50,0.78,0.9617,0.7776,0.8934,0.9268,0.8677,0.9352,0.9694,129471,697.4,739.4,69.1,697.4,65.0,,1.52,2.0,0.287,0.4009554693832763,0.7843639859019547,0.4843750000000001,0.5476613797573223
hotpotqa_toon_semantic_512_gpt,4f24364,2026-07-29T00:40:02+00:00,core,hotpotqa,toon,semantic,512,gpt,0,0,498,893,50,0.8,0.9617,0.7901,0.78,0.7851,0.8905,0.8128,0.9817,131105,636.3,678.3,26.6,636.3,65.0,-1.26,1.23,2.3,0.27925,0.33829849503330217,0.9801345722524833,0.7109375,0.6188369728050203
hotpotqa_toon_semantic_512_claude,4f24364,2026-07-29T00:40:02+00:00,core,hotpotqa,toon,semantic,512,claude,0,0,498,893,50,0.8,0.9617,0.7901,0.915,0.9347,0.8707,0.9515,0.9684,131105,636.3,678.3,76.1,636.3,65.0,-1.26,1.73,2.78,0.27925,0.4651184839469694,0.9801345722524833,0.3203125000000001,0.6236532172618539
hotpotqa_yaml_semantic_512_gpt,4f24364,2026-07-29T00:57:07+00:00,core,hotpotqa,yaml,semantic,512,gpt,0,0,498,893,50,0.78,0.9517,0.7757,0.8112,0.7648,0.8802,0.8355,0.9751,127261,688.0,730.0,25.8,688.0,65.0,1.71,1.34,1.9,0.28555,0.24803903000572697,0.8144825376481898,0.625,0.5028384031797299
hotpotqa_yaml_semantic_512_claude,4f24364,2026-07-29T00:57:07+00:00,core,hotpotqa,yaml,semantic,512,claude,0,0,498,893,50,0.78,0.9517,0.7757,0.895,0.902,0.8604,0.9256,0.967,127261,688.0,730.0,70.5,688.0,65.0,1.71,1.61,2.78,0.28555,0.32848372663379394,0.8144825376481898,0.4140625,0.5114201264937634
hotpotqa_json_fixed_256_late_gpt,2588da3,2026-07-31T22:48:33+00:00,L_late_chunking,hotpotqa,json,fixed,256,gpt,0,1,498,523,50,0.89,0.9617,0.8466,0.785,0.7905,0.8856,0.8259,0.9898,101452,917.7,959.7,25.2,917.7,35.37,,0.98,1.43,0.4299,0.4963759152838128,0.07850048061518744,0.90625,0.411600625857222
hotpotqa_json_fixed_256_late_claude,2588da3,2026-07-31T22:48:33+00:00,L_late_chunking,hotpotqa,json,fixed,256,claude,0,1,498,523,50,0.89,0.9617,0.8466,0.9034,0.9501,0.8703,0.9285,0.9726,101452,917.7,959.7,70.9,917.7,35.37,,1.57,2.2,0.4299,0.5891926405879698,0.07850048061518744,0.4453125,0.3888683635093005
hotpotqa_toon_fixed_256_late_gpt,2588da3,2026-07-31T23:15:16+00:00,L_late_chunking,hotpotqa,toon,fixed,256,gpt,0,1,498,523,50,0.89,0.9617,0.8466,0.755,0.79,0.8789,0.8374,0.9884,102444,870.2,912.3,24.7,870.2,35.37,-0.98,0.95,1.29,0.4214,0.4484085054010004,0.23037487984620342,0.9296875,0.4442885856466714
hotpotqa_toon_fixed_256_late_claude,2588da3,2026-07-31T23:15:16+00:00,L_late_chunking,hotpotqa,toon,fixed,256,claude,0,1,498,523,50,0.89,0.9617,0.8466,0.8884,0.9006,0.8675,0.9153,0.9696,102444,870.2,912.3,74.3,870.2,35.37,-0.98,1.5,2.42,0.4214,0.5046714318374297,0.23037487984620342,0.5000000000000001,0.40796692386488603
hotpotqa_yaml_fixed_256_late_gpt,2588da3,2026-07-31T23:39:02+00:00,L_late_chunking,hotpotqa,yaml,fixed,256,gpt,0,1,498,523,50,0.89,0.9617,0.8466,0.775,0.7951,0.8814,0.8289,0.9867,100304,934.1,976.2,24.6,934.1,35.37,1.13,0.95,1.36,0.436,0.4586477081162071,0.025632809996795847,0.9296875,0.3777484625569821
hotpotqa_yaml_fixed_256_late_claude,2588da3,2026-07-31T23:39:02+00:00,L_late_chunking,hotpotqa,yaml,fixed,256,claude,0,1,498,523,50,0.89,0.9617,0.8466,0.9138,0.9322,0.8633,0.9206,0.9765,100304,934.1,976.2,71.9,934.1,35.37,1.13,1.5,2.35,0.436,0.5687794194676601,0.025632809996795847,0.5000000000000001,0.3683611932327086
hotpotqa_json_fixed_128_gpt,2588da3,2026-08-01T00:17:43+00:00,S_chunk_size,hotpotqa,json,fixed,128,gpt,0,0,498,732,50,0.82,0.9717,0.8215,0.805,0.7713,0.8872,0.7993,0.9847,119279,819.6,861.6,25.2,819.6,53.15,,0.95,1.3,0.40215,0.37884869945677463,0.3928228132008972,0.9296875,0.46636545934870133
hotpotqa_json_fixed_128_claude,2588da3,2026-08-01T00:17:43+00:00,S_chunk_size,hotpotqa,json,fixed,128,claude,0,0,498,732,50,0.82,0.9717,0.8215,0.9234,0.9306,0.8756,0.9111,0.9675,119279,819.6,861.6,69.4,819.6,53.15,,1.39,2.09,0.40215,0.49506470012440806,0.3928228132008972,0.5859375000000002,0.47291095968251806
hotpotqa_toon_fixed_128_gpt,2588da3,2026-08-01T00:39:43+00:00,S_chunk_size,hotpotqa,toon,fixed,128,gpt,0,0,498,732,50,0.83,0.975,0.8323,0.7784,0.7581,0.892,0.7907,0.9822,120814,761.9,803.9,25.8,761.9,53.15,-1.29,0.94,1.3,0.3942,0.3700953197618397,0.5776994553027878,0.9375,0.5278674692368955
hotpotqa_toon_fixed_128_claude,2588da3,2026-08-01T00:39:43+00:00,S_chunk_size,hotpotqa,toon,fixed,128,claude,0,0,498,732,50,0.83,0.975,0.8323,0.9094,0.9096,0.8772,0.9214,0.9706,120814,761.9,803.9,76.5,761.9,53.15,-1.29,1.51,2.18,0.3942,0.5220949744517511,0.5776994553027878,0.4921875000000001,0.5370704215818513
hotpotqa_yaml_fixed_128_gpt,2588da3,2026-08-01T01:00:44+00:00,S_chunk_size,hotpotqa,yaml,fixed,128,gpt,0,0,498,732,50,0.81,0.9733,0.8152,0.7584,0.7808,0.8789,0.7875,0.981,117842,818.7,860.7,27.1,818.7,53.15,1.2,0.93,1.33,0.40255,0.27626296288866675,0.39570650432553667,0.9453125,0.4184256329582712
hotpotqa_yaml_fixed_128_claude,2588da3,2026-08-01T01:00:44+00:00,S_chunk_size,hotpotqa,yaml,fixed,128,claude,0,0,498,732,50,0.81,0.9733,0.8152,0.9218,0.9227,0.8708,0.9247,0.9711,117842,818.7,860.7,69.5,818.7,53.15,1.2,1.46,2.18,0.40255,0.4862371385980686,0.39570650432553667,0.5312500000000001,0.46130334581297217
hotpotqa_json_fixed_1024_gpt,2588da3,2026-08-01T01:34:00+00:00,S_chunk_size,hotpotqa,json,fixed,1024,gpt,0,0,498,498,50,0.87,0.9733,0.852,0.795,0.8028,0.8914,0.8418,0.9831,99123,937.1,979.1,25.4,937.1,32.92,,0.94,1.28,0.4361,0.499931122781122,0.016340916372957426,0.9375,0.3963098821210961
hotpotqa_json_fixed_1024_claude,2588da3,2026-08-01T01:34:00+00:00,S_chunk_size,hotpotqa,json,fixed,1024,claude,0,0,498,498,50,0.87,0.9733,0.852,0.9234,0.926,0.8734,0.9263,0.973,99123,937.1,979.1,69.9,937.1,32.92,,1.44,2.0,0.4361,0.5894399775977851,0.016340916372957426,0.5468750000000001,0.38247055952942766
hotpotqa_toon_fixed_1024_gpt,2588da3,2026-08-01T01:56:00+00:00,S_chunk_size,hotpotqa,toon,fixed,1024,gpt,0,0,498,498,50,0.87,0.9733,0.8535,0.76,0.7958,0.8853,0.8367,0.9808,100052,874.0,916.0,25.4,874.0,32.92,-0.94,0.94,1.65,0.42345,0.43021005546753077,0.21851970522268516,0.9375,0.4322119245617052
